title,author,isbn,year,editorial
Juramentada (Saga El Archivo De Las Tormentas 3),Brandon Sanderson,9788417347000,2018,S.A. Ediciones B
La Vida Invisible De Addie Larue,V.e. Schwab,9788416517374,2020,Umbriel
El Ojo Del Mundo (La Rueda Del Tiempo Nº 1),Robert Jordan,9788445007006,2019,Minotauro
El Mapa De Las Islas,Alastair Bonnett,9788419172105,2022,Blackie Books
Enhorabuena Por Tu Fracaso (Ejemplar Firmado Por El Autor),Arturo Gonzalez Campos,2910025142747,2022,Plan B
La Frontera Invisible,Javier Reverte,9788401027345,2022,Plaza & Janes Editores
Escuadron Cielo: La Coleccion,Brandon Sanderson,9788418037757,2022,Nova
El Imperio Final (Nacidos De La Bruma-Mistborn) (Ed. Ilustrada),Brandon Sanderson,9788418037214,2021,Nova
Enhorabuena Por Tu Fracaso,Arturo Gonzalez Campos,9788418051197,2022,Plan B
Mona Lisa Acelerada Nº 03/03 Trilogia De Sprawl,William Gibson,9788445009420,2022,Minotauro
Cronicas De La Dragonlance Nº 01/03 El Retorno De Los Dragones,Margaret Weis,9788445011041,2022,Minotauro
Cronicas De La Dragonlance Nº 02/03 La Tumba De Huma,Margaret Weis,9788445011102,2022,Minotauro
El Heroe De Las Eras (Saga Nacidos De La Bruma 3),Brandon Sanderson,9788466658911,2016,S.A. Ediciones B
La Cita,Emilia Pardo Bazan,9788418451812,2021,Nordica
El Heroe De Las Eras (Nacidos De La Bruma-Mistborn [Edicion Ilust Rada] 3),Brandon Sanderson,9788418037290,2021,Nova
La Maldicion De Hill House,Shirley Jackson,9788494836695,2019,Minuscula
Exhalacion,Ted Chiang,9788417517793,2020,Sexto Piso
El Ritmo De La Guerra (El Archivo De Las Tormentas 4),Brandon Sanderson,9788417347932,2020,S.A. Ediciones B
Sinsonte,Walter Tevis,9788418668371,2022,Impedimenta
Tiempo De Odio (Saga Geralt De Rivia 4) (Edicion Coleccionista),Andrzej Sapkowski,9788498890532,2010,Alamut Ediciones
Cronicas De La Dragonlance Nº 03/03 La Reina De La Oscuridad,Margaret Weis,9788445011164,2022,Minotauro
El Silmarillion (Tapa Dura Lujo),J.r.r. Tolkien,9788445073810,2002,Minotauro
